item_id,average_pct_change_2022
3,0.0
4,0.0
5,0.0
8,0.0
15,0.0
16,0.0
21,0.0
27,0.0
31,0.0
33,0.0
34,0.0
37,0.0
46,0.0
52,0.0
53,0.0
54,0.0
55,0.0
58,0.0
68,0.0
79,0.0
80,0.0
81,0.0
85,0.0
86,0.0
89,0.0
90,0.0
98,0.0
99,0.0
100,0.0
103,0.0
110,0.0
112,0.0
116,0.0
117,0.0
118,0.0
120,0.0
131,0.0
135,0.0
136,0.0
139,0.0
148,0.0
153,0.0
155,0.0
157,0.0
160,0.0
161,0.0
162,0.0
167,0.0
168,0.0
170,0.0
173,0.0
188,0.0
191,0.0
198,0.0
200,0.0
202,0.0
203,0.0
205,0.0
209,0.0
223,0.0
224,0.0
226,0.0
231,0.0
234,0.0
237,0.0
247,0.0
250,0.0
256,0.0
259,0.0
263,0.0
265,0.0
267,0.0
269,0.0
274,0.0
275,0.0
282,0.0
283,0.0
284,0.0
289,0.0
294,0.0
295,0.0
296,0.0
298,0.0
301,0.0
306,0.0
315,0.0
323,0.0
324,0.0
325,0.0
328,0.0
329,0.0
335,0.0
343,0.0
344,0.0
348,0.0
355,0.0
356,0.0
357,0.0
365,0.0
368,0.0
370,0.0
372,0.0
376,0.0
384,0.0
385,0.0
389,0.0
392,0.0
395,0.0
399,0.0
401,0.0
402,0.0
403,0.0
404,0.0
405,0.0
406,0.0
407,0.0
418,0.0
421,0.0
422,0.0
423,0.0
425,0.0
427,0.0
428,0.0
430,0.0
431,0.0
433,0.0
434,0.0
437,0.0
439,0.0
441,0.0
447,0.0
449,0.0
453,0.0
469,0.0
472,0.0
473,0.0
475,0.0
477,0.0
480,0.0
485,0.0
486,0.0
487,0.0
490,0.0
492,0.0
496,0.0
497,0.0
500,0.0
504,0.0
506,0.0
507,0.0
516,0.0
519,0.0
522,0.0
523,0.0
525,0.0
529,0.0
536,0.0
538,0.0
541,0.0
542,0.0
546,0.0
551,0.0
552,0.0
555,0.0
558,0.0
560,0.0
564,0.0
568,0.0
569,0.0
570,0.0
571,0.0
574,0.0
575,0.0
577,0.0
578,0.0
586,0.0
589,0.0
593,0.0
595,0.0
597,0.0
599,0.0
600,0.0
601,0.0
604,0.0
610,0.0
614,0.0
618,0.0
621,0.0
633,0.0
635,0.0
639,0.0
640,0.0
641,0.0
644,0.0
646,0.0
651,0.0
652,0.0
657,0.0
659,0.0
661,0.0
663,0.0
669,0.0
673,0.0
675,0.0
679,0.0
680,0.0
683,0.0
686,0.0
687,0.0
689,0.0
691,0.0
695,0.0
697,0.0
698,0.0
700,0.0
701,0.0
702,0.0
703,0.0
714,0.0
715,0.0
717,0.0
725,0.0
728,0.0
729,0.0
731,0.0
732,0.0
733,0.0
736,0.0
737,0.0
741,0.0
748,0.0
753,0.0
754,0.0
755,0.0
757,0.0
760,0.0
762,0.0
770,0.0
773,0.0
774,0.0
775,0.0
776,0.0
781,0.0
782,0.0
783,0.0
785,0.0
788,0.0
790,0.0
792,0.0
798,0.0
801,0.0
803,0.0
815,0.0
824,0.0
830,0.0
831,0.0
837,0.0
838,0.0
840,0.0
841,0.0
842,0.0
845,0.0
847,0.0
852,0.0
853,0.0
866,0.0
877,0.0
884,0.0
890,0.0
892,0.0
896,0.0
897,0.0
898,0.0
901,0.0
903,0.0
906,0.0
907,0.0
909,0.0
911,0.0
917,0.0
921,0.0
924,0.0
925,0.0
926,0.0
932,0.0
938,0.0
939,0.0
941,0.0
948,0.0
950,0.0
951,0.0
958,0.0
961,0.0
962,0.0
963,0.0
967,0.0
971,0.0
973,0.0
975,0.0
976,0.0
978,0.0
980,0.0
981,0.0
982,0.0
987,0.0
988,0.0
989,0.0
990,0.0
992,0.0
994,0.0
1000,0.0
1007,0.0
1012,0.0
1013,0.0
1016,0.0
1017,0.0
1020,0.0
1021,0.0
1023,0.0
1024,0.0
1025,0.0
1026,0.0
1028,0.0
1029,0.0
1030,0.0
1034,0.0
1038,0.0
1040,0.0
1041,0.0
1047,0.0
1055,0.0
1059,0.0
1062,0.0
1071,0.0
1084,0.0
1087,0.0
1091,0.0
1092,0.0
1093,0.0
1100,0.0
1101,0.0
1107,0.0
1109,0.0
1111,0.0
1112,0.0
1114,0.0
1116,0.0
1117,0.0
1121,0.0
1124,0.0
1129,0.0
1131,0.0
1133,0.0
1137,0.0
1140,0.0
1143,0.0
1146,0.0
1147,0.0
1152,0.0
1160,0.0
1162,0.0
1167,0.0
1170,0.0
1176,0.0
1177,0.0
1178,0.0
1181,0.0
1186,0.0
1190,0.0
1195,0.0
1196,0.0
1197,0.0
1201,0.0
1203,0.0
1206,0.0
1209,0.0
1216,0.0
1218,0.0
1219,0.0
1221,0.0
1228,0.0
1233,0.0
1238,0.0
1239,0.0
1241,0.0
1254,0.0
1258,0.0
1259,0.0
1260,0.0
1261,0.0
1262,0.0
1266,0.0
1274,0.0
1277,0.0
1281,0.0
1284,0.0
1285,0.0
1288,0.0
1289,0.0
1291,0.0
1301,0.0
1306,0.0
1314,0.0
1319,0.0
1334,0.0
1337,0.0
1340,0.0
1342,0.0
1343,0.0
1345,0.0
1349,0.0
1350,0.0
1354,0.0
1355,0.0
1356,0.0
1357,0.0
1361,0.0
1368,0.0
1374,0.0
1381,0.0
1387,0.0
1390,0.0
1391,0.0
1394,0.0
1398,0.0
1400,0.0
1402,0.0
1405,0.0
1407,0.0
1418,0.0
1419,0.0
1421,0.0
1423,0.0
1426,0.0
1427,0.0
1428,0.0
1436,0.0
1438,0.0
1444,0.0
1449,0.0
1450,0.0
1453,0.0
1455,0.0
1457,0.0
1459,0.0
1460,0.0
1461,0.0
1463,0.0
1467,0.0
1469,0.0
1470,0.0
1477,0.0
1479,0.0
1485,0.0
1487,0.0
1488,0.0
1489,0.0
1490,0.0
1505,0.0
1508,0.0
1513,0.0
1516,0.0
1519,0.0
1522,0.0
1528,0.0
1533,0.0
1542,0.0
1543,0.0
1547,0.0
1549,0.0
1555,0.0
1560,0.0
1561,0.0
1564,0.0
1565,0.0
1566,0.0
1573,0.0
1576,0.0
1577,0.0
1580,0.0
1589,0.0
1592,0.0
1593,0.0
1601,0.0
1602,0.0
1603,0.0
1607,0.0
1608,0.0
1610,0.0
1615,0.0
1617,0.0
1619,0.0
1620,0.0
1627,0.0
1631,0.0
1635,0.0
1637,0.0
1639,0.0
1640,0.0
1647,0.0
1648,0.0
1649,0.0
1652,0.0
1668,0.0
1676,0.0
1679,0.0
1682,0.0
1683,0.0
1686,0.0
1690,0.0
1697,0.0
1702,0.0
1704,0.0
1708,0.0
1709,0.0
1710,0.0
1713,0.0
1722,0.0
1728,0.0
1729,0.0
1730,0.0
1732,0.0
1740,0.0
1742,0.0
1746,0.0
1747,0.0
1749,0.0
1750,0.0
1756,0.0
1759,0.0
1760,0.0
1767,0.0
1769,0.0
1774,0.0
1778,0.0
1782,0.0
1784,0.0
1807,0.0
1833,0.0
1835,0.0
